UsualHoursWorked,EducationYrs, YearlyEarnings ,Race,Sex,,,"Note: data is a sample of 6050 full-time workers in five North-Central States, March 1999"
40,18,90000,White,Male,,,
60,18,90000,White,Male,,,
55,18,90000,White,Male,,,
50,18,90002,White,Male,,,
40,18,90578,White,Male,,,
0,18,92000,White,Male,,,
60,18,92000,Black,Male,,,
40,18,92500,AsianPI,Male,,,
70,18,95000,White,Male,,,
40,18,95000,White,Male,,,
55,18,98000,White,Female,,,
40,18,98000,AsianPI,Male,,,
47,18,98453,White,Male,,,
40,18,98500,White,Male,,,
40,18,99000,White,Male,,,
50,18,99925,White,Male,,,
70,18,100000,White,Male,,,
60,18,100000,White,Female,,,
40,18,100000,White,Male,,,
60,18,100000,White,Male,,,
50,18,100000,White,Male,,,
40,18,100000,White,Female,,,
50,18,100000,Black,Male,,,
60,18,100000,White,Male,,,
50,18,100000,White,Male,,,
40,18,100000,White,Male,,,
56,18,100000,White,Male,,,
40,18,100000,White,Female,,,
50,18,100000,White,Male,,,
40,18,100000,White,Male,,,
65,18,100000,White,Male,,,
0,18,100000,White,Male,,,
60,18,100231,White,Male,,,
60,18,103000,White,Male,,,
50,18,103000,White,Male,,,
40,18,103000,White,Male,,,
50,18,103500,White,Female,,,
53,18,103925,White,Male,,,
50,18,108000,White,Male,,,
40,18,110000,White,Female,,,
0,18,110000,White,Male,,,
55,18,110000,White,Male,,,
50,18,110000,White,Female,,,
38,18,110000,White,Male,,,
40,18,110000,White,Male,,,
40,18,110000,White,Male,,,
55,18,110000,White,Male,,,
40,18,110000,White,Male,,,
60,18,111000,Black,Male,,,
40,18,113925,White,Male,,,
45,18,115000,AsianPI,Male,,,
40,18,115000,White,Male,,,
60,18,117136,White,Male,,,
65,18,119925,White,Male,,,
0,18,120000,White,Male,,,
55,18,120000,White,Male,,,
0,18,120000,White,Male,,,
50,18,120000,White,Male,,,
50,18,120000,White,Female,,,
48,18,120000,White,Male,,,
40,18,120000,White,Male,,,
50,18,125000,White,Male,,,
40,18,128000,White,Female,,,
50,18,128000,White,Male,,,
45,18,129500,White,Male,,,
50,18,130000,White,Male,,,
60,18,131925,White,Male,,,
60,18,132000,White,Male,,,
98,18,134400,White,Female,,,
40,18,135000,White,Female,,,
60,18,135000,White,Male,,,
40,18,140000,White,Male,,,
70,18,140000,Black,Male,,,
40,18,150000,White,Male,,,
55,18,150000,Black,Male,,,
60,18,150000,White,Male,,,
55,18,150000,White,Male,,,
0,18,150000,White,Male,,,
0,18,150000,White,Female,,,
35,18,150000,White,Male,,,
50,18,155000,White,Female,,,
0,18,160000,Black,Male,,,
50,18,209925,White,Male,,,
40,18,306731,White,Male,,,
70,18,306731,White,Male,,,
60,18,306731,White,Male,,,
60,18,306731,White,Male,,,
60,18,306731,AsianPI,Male,,,
70,18,306731,White,Male,,,
55,18,306731,White,Male,,,
47,18,306731,White,Male,,,
0,18,306731,White,Male,,,
50,18,306731,White,Male,,,
40,18,306731,White,Male,,,
99,18,306731,White,Male,,,
45,18,306731,White,Male,,,
50,18,306731,White,Male,,,
40,18,306731,White,Male,,,
40,18,306731,White,Male,,,
40,18,306731,White,Male,,,
0,18,306731,White,Male,,,
50,18,306731,White,Male,,,
55,18,306731,White,Male,,,
65,18,306731,White,Male,,,
50,18,306731,White,Male,,,
40,18,306731,White,Male,,,
50,18,306731,White,Male,,,
50,18,306731,White,Male,,,
60,18,306731,White,Male,,,
80,18,306731,White,Male,,,
50,18,306731,White,Male,,,
0,18,306731,White,Male,,,
60,18,306731,White,Male,,,
65,18,306731,White,Male,,,
47,18,306731,White,Male,,,
45,18,306731,White,Male,,,
50,18,306731,White,Male,,,
60,18,306731,White,Male,,,
60,18,306731,White,Male,,,
0,18,306731,White,Male,,,
50,18,314731,White,Male,,,
70,18,327731,White,Male,,,
50,18,327731,White,Male,,,
58,18,331731,White,Male,,,
40,18,348516,White,Male,,,
55,18,366656,AsianPI,Male,,,
65,18,366656,White,Male,,,
60,18,402204,White,Female,,,
75,18,402204,White,Female,,,
48,18,422204,White,Female,,,
40,16,412,White,Female,,,
0,16,1000,White,Male,,,
