Date,SP500,Nasdaq
1992-09-01,0.00910562,0.035782782
1992-10-01,0.002106271,0.037546934
1992-11-02,0.030261775,0.078589487
1992-12-01,0.010107801,0.037105695
1993-01-04,0.007045971,0.028643179
1993-02-01,0.010483614,-0.036720568
1993-03-01,0.01869728,0.028862352
1993-04-01,-0.025416787,-0.041600858
1993-05-03,0.022717463,0.059130356
1993-06-01,0.000755237,0.004882018
1993-07-01,-0.005327059,0.001065417
1993-08-02,0.034431973,0.054122322
1993-09-01,-0.00998792,0.026842927
1993-10-01,0.019392936,0.021605181
1993-11-01,-0.012910673,-0.031914894
1993-12-01,0.010091167,0.02970612
1994-01-03,0.032500804,0.030471164
1994-02-01,-0.030045057,-0.00995665
1994-03-01,-0.045746457,-0.061880126
1994-04-04,0.01153061,-0.012939499
1994-05-02,0.012397152,0.001839638
1994-06-01,-0.0267908,-0.03975843
1994-07-01,0.03148986,0.022947476
1994-08-01,0.037598743,0.060180569
1994-09-01,-0.026877537,-0.001737154
1994-10-03,0.020833784,0.017270931
1994-11-01,-0.039504605,-0.034945787
1994-12-01,0.012299147,0.002185734
1995-01-03,0.024277658,0.00430874
1995-02-01,0.036074147,0.051019597
1995-03-01,0.027329244,0.029581848
1995-04-03,0.027960296,0.032757798
1995-05-01,0.03631171,0.024408161
1995-06-01,0.02127859,0.079657175
1995-07-03,0.031776044,0.072590926
1995-08-01,-0.000320251,0.018877159
1995-09-01,0.04009753,0.022968111
1995-10-02,-0.004979381,-0.007167909
1995-11-01,0.041049011,0.022334614
1995-12-01,0.017443877,-0.006674849
1996-01-02,0.032617343,0.007280469
1996-02-01,0.006933744,0.037988658
1996-03-01,0.007916556,0.001227217
1996-04-01,0.013431448,0.080915199
1996-05-01,0.022853387,0.044442765
1996-06-03,0.002256695,-0.0469749
1996-07-01,-0.045748028,-0.088125095
1996-08-01,0.01881397,0.056367355
1996-09-03,0.054203285,0.074831362
1996-10-01,0.026101,-0.004409415
1996-11-01,0.073376154,0.058206646
1996-12-02,-0.021505376,-0.001222333
1997-01-02,0.061317061,0.068797782
1997-02-03,0.005927547,-0.051346161
1997-03-03,-0.042613996,-0.066692131
1997-04-01,0.058405537,0.031971843
1997-05-01,0.058576884,0.110695136
1997-06-02,0.043452634,0.029814614
1997-07-01,0.07814583,0.105223741
1997-08-01,-0.057465603,-0.004072004
1997-09-02,0.053153524,0.061972381
1997-10-01,-0.034477662,-0.054624516
1997-11-03,0.044586823,0.004354892
1997-12-01,0.015731631,-0.018868514
1998-01-02,0.01015014,0.031209603
1998-02-02,0.070449259,0.093339344
1998-03-02,0.04994568,0.036808603
1998-04-01,0.009076469,0.017829905
1998-05-01,-0.018826175,-0.0479231
1998-06-01,0.039438221,0.065136857
1998-07-01,-0.011615395,-0.011795814
1998-08-03,-0.145796711,-0.199285405
1998-09-01,0.062395537,0.129791562
1998-10-01,0.080294196,0.045783545
1998-11-02,0.059126034,0.100570738
1998-12-01,0.056375308,0.124721729
1999-01-04,0.041009412,0.142838249
1999-02-01,-0.032282517,-0.086939171
1999-03-01,0.038794182,0.075772608
1999-04-01,0.037943982,0.033094987
1999-05-03,-0.024970416,-0.028448283
1999-06-01,0.054438333,0.087269077
1999-07-01,-0.032046099,-0.017731896
1999-08-02,-0.006254139,0.03822641
1999-09-01,-0.028551738,0.002485991
1999-10-01,0.062539467,0.080210184
1999-11-01,0.019061874,0.124638033
1999-12-01,0.057843921,0.219758645
2000-01-03,-0.050903522,-0.031690876
2000-02-01,-0.020108142,0.191947416
2000-03-01,0.096719896,-0.026371764
2000-04-03,-0.03079582,-0.155739444
2000-05-01,-0.021914998,-0.119085856
2000-06-01,0.023933549,0.166190814
2000-07-03,-0.016341262,-0.050205365
2000-08-01,0.060699035,0.116634236
2000-09-01,-0.053482948,-0.126839184
2000-10-02,-0.004949496,-0.082549648
2000-11-01,-0.08006856,-0.229016242
2000-12-01,0.004053386,-0.049042892
2001-01-02,0.034636592,0.122326474
2001-02-01,-0.092290686,-0.223930927
2001-03-01,-0.06420472,-0.144793037
2001-04-02,0.076814355,0.149967939
2001-05-01,0.005090199,-0.002717083
2001-06-01,-0.025035435,0.023714872
2001-07-02,-0.01074013,-0.061748452
2001-08-01,-0.064108386,-0.109366444
2001-09-04,-0.08172339,-0.169837656
2001-10-01,0.018099026,0.127702162
2001-11-01,0.07517598,0.142219856
2001-12-03,0.007573829,0.010266345
2002-01-02,-0.015573828,-0.00839315
2002-02-01,-0.020766236,-0.104724332
2002-03-01,0.036738861,0.065758393
2002-04-01,-0.061417652,-0.08514374
2002-05-01,-0.009081455,-0.042944386
2002-06-03,-0.072455348,-0.09439696
2002-07-01,-0.079004263,-0.09222873
2002-08-01,0.00488142,-0.010095915
2002-09-03,-0.110024343,-0.108597939
2002-10-01,0.086448827,0.134540894
2002-11-01,0.057069635,0.112073698
2002-12-02,-0.060332582,-0.096883918
2003-01-02,-0.027414698,-0.010932153
2003-02-03,-0.017003623,0.012574664
2003-03-03,0.008357606,0.002728931
2003-04-01,0.081044118,0.091815355
2003-05-01,0.050898661,0.08987168
2003-06-02,0.011322243,0.016849321
2003-07-01,0.016223704,0.069152083
2003-08-01,0.017873191,0.043475003
2003-09-02,-0.011944326,-0.012985722
2003-10-01,0.054961495,0.081295399
2003-11-03,0.007128513,0.014517056
2003-12-01,0.050765451,0.021991981
2004-01-02,0.017276423,0.031337197
2004-02-02,0.01220903,-0.017583428
2004-03-01,-0.016358936,-0.017538501
2004-04-01,-0.016790829,-0.037142341
2004-05-03,0.012083446,0.034679582
2004-06-01,0.017989078,0.030728731
2004-07-01,-0.034290523,-0.078342994
2004-08-02,0.002287333,-0.026099949
2004-09-01,0.009363906,0.031956912
2004-10-01,0.014014248,0.041200101
2004-11-01,0.038594939,0.061681325
2004-12-01,0.032458128,0.037499821
2005-01-03,-0.025290448,-0.051957305
2005-02-01,0.018903384,-0.005183256
2005-03-01,-0.019117647,-0.025583413
2005-04-01,-0.02010859,-0.03880494
2005-05-02,0.029952025,0.076272995
2005-06-01,-0.000142677,-0.005444295
2005-07-01,0.035968204,0.062164554
2005-08-01,-0.011222026,-0.014985148
2005-09-01,0.00694894,-0.000185866
2005-10-03,-0.017740741,-0.014588533
2005-11-01,0.035186121,0.053067962
2005-12-01,-0.000952396,-0.012316264
2006-01-03,0.025466839,0.045571618
2006-02-01,0.000453097,-0.010594929
2006-03-01,0.011095841,0.025598429
2006-04-03,0.01215566,-0.007359635
